id,artist_name,caption,url,description
1,"Pillard Verneuil, Maurice","Swans and arrowheads, border.  — Butterflies and foliage, fabric. — Stags and hinds, frieze.(Plate 15.)",https://www.oldbookillustrations.com/illustrations/glance-detroit/,"Combination of discrete decorative patterns featuring swans on a pond dotted with flowering arrowheads, butterflies separated by garlands of foliage, and a stag with a grazing hind in a clearing overgrown with thorny bushes.
The caption reads in the original French: Cygnes et sagittaire, bordure. — Papillons et feuillage, étoffe. — Cerfs et biches, frise."
2,"Cassas, Louis François","General view of Pula, of the arena, the two temples, etc. Taken from  Olive Tree Island.(Plate 11)",https://www.oldbookillustrations.com/illustrations/pula-arena-temples/,"Panoramic view showing Pula, a city in Istria, Croatia. On the left stands the arena and, on the right, the temple of Augustus and presumably that of Diana can be seen from the back. On a stretch of land dotted with trees, in the foreground, a man waves goodbye to a woman sitting in a small boat. This view is said to be taken from “Olive Tree Island,” which might correspond to Ugljan.
The credits inform us that this plate was etched by Filhol and “completed” by Née. We’re assuming that Née worked with a burin, that is, using a hand-engraving technique as opposed to etching in which the metal is bitten into by acid. Mixing the two techniques was common practice at the time, although seldom explicitly stated. Sometimes etching would be used to merely outline the main figures, all the details and shading being engraved with the burin. At the other extreme, the burin would be used for just adding the finishing touches, such as deepening some of the grooves made in the etching process, thus finely adjusting the intensity of the shadows.
The caption reads in the original French: Vue générale de Pola, de l’amphithéâtre, des deux temples, etc. Prise de l’île des Oliviers."
3,"Cassas, Louis François","View of the Temple of Augustus in Pula, taken from the square.(Plate 25.)",https://www.oldbookillustrations.com/illustrations/pula-temple-augustus/,"View of the front and side of the Temple of Augustus in Pula, Croatia, showing the remnants of a stairway on the right and masts rising above a wall in the background.
The caption reads in the original French: Vue du temple d’Auguste, à Pola, prise du côté de la place."
4,"Pillard Verneuil, Maurice",Deer.(Plate 37.),https://www.oldbookillustrations.com/illustrations/deer-verneuil/,"An adult male red deer stands in a clearing on the edge of a birch wood, accompanied by a younger stag and a hind grazing near a stream.
The caption reads in the original French: Cerfs."
5,"Pillard Verneuil, Maurice","Birds, background effect. — Snails and mushroom. — Ladybugs and maidenhair fern, fabric. — Golden pheasants and irises, border.(Plate 47.)",https://www.oldbookillustrations.com/illustrations/golden-pheasant-ladybug/,"Combination of discrete ornamental designs featuring unspecified birds in hexagonal pattern arrangement, snails climbing a mushroom stipe, ladybugs of various sizes crawling maidenhair fern, and golden pheasants against a backdrop of irises.
The caption reads in the original French: Oiseaux, jeu de fond. — Escargots et champignon. — Coccinelles et capillaire, étoffe. — Faisans dorés et iris, bordure."
6,"Pillard Verneuil, Maurice","Peacocks and poppies, border. — Gurnards, seaweed, and scallop shells — cloisonné enamel dish.(Plate 54.)",https://www.oldbookillustrations.com/illustrations/peacock-gurnard/,"Plate showing a combination of two separate ornamental designs: at the top is a border with peacocks and poppies, below is a circular motif featuring gurnards and seaweed, with an outer ring of scallop shells.
The caption reads in the original French: Paons et pavots, bordure. — Grondins, algues et coquilles — plat en émail cloisonné."
7,"Cassas, Louis François","View of the Salona Aqueduct, which brought water to Spalato.(Plate 57.)",https://www.oldbookillustrations.com/illustrations/aqueduct-diocletian/,"View of the remains of the aqueduct of Diocletian, which brought water from the source of the river Jadro, near Solin, to Diocletian’s palace in Split, Croatia. The dilapidated though still majestic semicircular arches are seen on their downhill course across woodland, dominated by the mountains in the background.
The caption reads in the original French: Vue de l’aqueduc de Salones qui conduisait l’eau à Spalatro."
8,"Cassas, Louis François","View of Školj Castle located above the Reka Valley  near Škocjan, in the vicinity of Trieste.(Plate 3.)",https://www.oldbookillustrations.com/illustrations/skolj-castle/,"View of Školj Castle, Slovenia, as seen from a scenic portion of the Reka valley, standing on a rocky hill overlooking the Reka River. The opening of the Škocjan caves can be seen in the distance, behind a river bend, right below the castle. The views gathered in this book were drawn by Cassas between 1782 and 1788[1].
The caption reads in the original French: Vue du château de Novoscollio ou Neukossel, situé au-dessus de la vallée de la Ruecca, près San Canciano, dans les environs de Trieste."
9,"Pillard Verneuil, Maurice","Fish, stenciled frieze. — Cockatoos and lemons, cretonne.(Plate 16.)",https://www.oldbookillustrations.com/illustrations/fish-cockatoo/,"Plate showing a combination of two separate ornamental designs: on the right is a pattern with cockatoos spreading their wings among lemon fruit and branches; on the left, a narrower bicolor frieze with fish swimming in a stream.
The caption reads in the original French: Poissons, frise au pochoir. — Cacatoès et citrons, cretonne."
10,"Pillard Verneuil, Maurice","Swifts and honeysuckle, border. — Squirrels and hazel, wallpaper. — Birds and flowering hazel, border.(Plate 22.)",https://www.oldbookillustrations.com/illustrations/birds-squirrels/,"Combination of discrete ornamental designs featuring swifts sitting on honeysuckle stems, squirrels scampering about the branches and leaves of a hazel tree, and unspecified birds fluttering among hazel catkins.
The caption reads in the original French: Martinets et chèvrefeuille, bordure. — Écureuils et noisetier, papier peint. —  Oiseaux et noisetier en fleur, bordure."
11,"Cassas, Louis François","General view of Trieste, of its port, lazaretto, and of the coast of Istria, taken from the road to Vienna.(Plate 6.)",https://www.oldbookillustrations.com/illustrations/trieste/,"Panoramic view of a busy port of Trieste and of the coast of Istria in clear weather, as seen from a high viewpoint.
The caption reads in the original French: Vue générale de Trieste ; de son port, du lazareth et des côtes de l’Istrie, prise du chemin de Vienne."
12,"Cassas, Louis François","View of the triumphal arch called Porta Aurea, taken from the front. At Pula.(Plate 19.)",https://www.oldbookillustrations.com/illustrations/pula-arch-sergii/,"Frontal view of the Arch of the Sergii located in Pula, Croatia, showing a group of men standing in the archway and two women in the foreground sitting on rubble.
The caption reads in the original French: Vue de l’arc de triomphe, appelé Porta-Aurea, prise en face. A Pola."
13,"Vere Boyle, Eleanor (E.V.B.)",The dumb maiden shewn to the people.(Frontispiece.),https://www.oldbookillustrations.com/illustrations/dumb-maiden/,"A young woman is portrayed within a circular frame, standing in front of three handmaidens while gazing demurely downwards. As part of the backdrop to the group, twelve swans can be seen above and below, huddled and tangled together among weeds. Illustration to “The Wild Swans.”"
14,"Daumier, Honoré",The flu in Paris.,https://www.oldbookillustrations.com/illustrations/flu-paris/,"A mature Parisian couple is seen above the waist walking in the street. He has a runny nose and a scarf wrapped around the lower part of his face, she holds a handkerchief to her mouth while looking downward. In the near background a man comes from the opposite direction, coughing and pressing a hand to his chest.
This illustration was published in Le Charivari on February 18, 1864. It is part of the miscellaneous series titled Actualités.
The caption reads in the original French: Paris grippé"
15,"Vere Boyle, Eleanor (E.V.B.)",Children playing in the water and alarmed by one of the mermaids approaching the shore.(Facing p. 37.),https://www.oldbookillustrations.com/illustrations/children-playing-water/,"Two little boys can be seen on the bank of an inlet, one of them sitting and turning to a little girl to help her out of the water. They are unaware of a mermaid approaching in the background, hidden from them by a screen of cattail reeds, but already causing a fright to four other children huddled beneath a tree on the opposite bank. Illustration to “The Little Mermaid.”"
16,"Vere Boyle, Eleanor (E.V.B.)",The old king pointing out to the student the wicked princess's garden.(Facing p. 29.),https://www.oldbookillustrations.com/illustrations/old-king-pointing/,"An older, bearded man leaning on a walking stick points a warning finger in front of him while raising his eyes toward a young man who follows his gesture with a pensive gaze. Illustration to “The Fellow-Traveller.”"
